Name,Team Name,BA_Pos,Position,Bats,Throws,List_Year,BA_Rank,Made_MLB,RookieYear,RookieYear2,WAR,Year2,WAR_Year2,Year3,WAR_Year3,Total_WAR,Group
Tim Anderson,Chicago White Sox,SS-DH,SS,R,R,2016,45,1,2016,2016,2.1,2017,0.1,2018,2,4.2,26 - 50
Blake Rutherford,New York Yankees,RF-LF,RF,L,R,2017,45,0,,,,,,,,0,26 - 50
Dilson Herrera,New York Mets,2B-3B,2B,R,R,2015,46,1,2014,2014,0.2,2015,0.5,2016,,0.7,26 - 50
Tony Sanchez,Pittsburgh Pirates,C-LF,C,R,R,2011,46,1,2013,2013,0.1,2014,0,2015,0.1,0.2,26 - 50
Yasiel Puig,Los Angeles Dodgers,RF-OF,RF,R,R,2013,47,1,2013,2013,3.9,2014,5.5,2015,1.5,10.9,26 - 50
Anthony Rizzo,Chicago Cubs,1B-2B,1B,L,L,2012,47,1,2011,2012,1.6,2013,1.8,2014,5.3,8.7,26 - 50
Trent Grisham,Milwaukee Brewers,CF-RF,CF,L,L,2016,49,1,2019,2019,0.6,2020,2.3,2021,,2.9,26 - 50
Rymer Liriano,San Diego Padres,RF-LF,RF,R,R,2012,49,1,2014,2014,-0.6,2015,,2016,,-0.6,26 - 50
Raimel Tapia,Colorado Rockies,LF-CF,LF,L,L,2017,49,1,2016,2017,-0.1,2018,0,2019,-0.9,-1,26 - 50
Jackie Bradley,Boston Red Sox,CF-OF,CF,L,R,2014,50,1,2013,2014,0.2,2015,1.9,2016,5.3,7.4,26 - 50
Will Middlebrooks,Boston Red Sox,3B-1B,3B,R,R,2012,51,1,2012,2012,2,2013,0.5,2014,-0.9,1.6,51 - 75
Christian Colon,Kansas City Royals,3B-2B,3B,R,R,2011,51,1,2014,2014,0.6,2015,0.2,2016,0,0.8,51 - 75
Nolan Arenado,Colorado Rockies,3B-DH,3B,R,R,2013,52,1,2013,2013,1.8,2014,2.6,2015,4.5,8.9,51 - 75
Jose Iglesias,Boston Red Sox,SS,SS,R,R,2011,52,0,,,,,,,,0,51 - 75
Yasmani Grandal,San Diego Padres,C-1B-,C,B,R,2012,53,1,2012,2012,3.8,2013,1.4,2014,2.5,7.7,51 - 75
Donavan Tate,San Diego Padres,CF-LF,CF,R,R,2010,53,0,,,,,,,,0,51 - 75
Jason Kipnis,Cleveland Indians,2B-CF,2B,L,R,2011,54,1,2011,2011,0.8,2012,3.4,2013,5.1,9.3,51 - 75
Reid Brignac,Tampa Bay Rays,SS-2B,SS,L,R,2010,54,1,2008,2010,1.5,2011,-1.1,2012,-0.2,0.2,51 - 75
Jean Segura,Los Angeles Angels,SS,SS,R,R,2012,55,1,2012,2012,-0.3,2013,4,2014,0.1,3.8,51 - 75
Kevin Newman,Pittsburgh Pirates,SS-2B,SS,R,R,2017,55,1,2018,2018,-0.8,2019,2.4,2020,-0.4,1.2,51 - 75
Jared Mitchell,Chicago White Sox,CF-LF,CF,L,L,2010,55,0,,,,,,,,0,51 - 75
Courtney Hawkins,Chicago White Sox,LF-CF,LF,R,R,2013,55,0,,,,,,,,0,51 - 75
Hector Olivera,Atlanta Braves,3B-LF,3B,R,R,2016,55,1,2015,2016,-0.2,2017,,2018,,-0.2,51 - 75
Maikel Franco,Philadelphia Phillies,3B-1B,3B,R,R,2015,56,1,2014,2015,1.9,2016,1.7,2017,-0.5,3.1,51 - 75
Zack Collins,Chicago White Sox,C-1B-,C,L,R,2017,56,1,2019,2019,-0.3,2020,-0.2,2021,,-0.5,51 - 75
Yasmany Tomas,Arizona Diamondbacks,LF-1B,LF,R,R,2015,57,1,2015,2015,-1.1,2016,0.5,2017,0.1,-0.5,51 - 75
Kolten Wong,St. Louis Cardinals,2B,2B,L,R,2014,58,1,2013,2014,1.8,2015,2.5,2016,1.2,5.5,51 - 75
Wilmer Flores,New York Mets,1B-2B,1B,R,R,2011,59,1,2013,2013,-0.1,2014,1.2,2015,1.7,2.8,51 - 75
Tyler Flowers,Chicago White Sox,C-DH,C,R,R,2010,60,1,2009,2010,0,2011,1.3,2012,1.8,3.1,51 - 75
Kaleb Cowart,Los Angeles Angels,3B-SS,3B,B,R,2013,60,1,2015,2015,-0.2,2016,-0.4,2017,0.5,-0.1,51 - 75
Colin Moran,Miami Marlins,3B-2B,3B,L,R,2014,61,1,2016,2016,-0.4,2017,0.2,2018,0.7,0.5,51 - 75
Ike Davis,New York Mets,1B-P,1B,L,L,2010,62,1,2010,2010,2.9,2011,1.3,2012,1,5.2,51 - 75
Bradley Zimmer,Cleveland Indians,CF-OF,CF,L,R,2017,62,1,2017,2017,1.6,2018,0.3,2019,-0.3,1.6,51 - 75
Christian Arroyo,San Francisco Giants,3B-SS,3B,R,R,2016,62,1,2017,2017,-0.5,2018,0.2,2019,0,-0.3,51 - 75
Ian Happ,Chicago Cubs,CF-OF,CF,B,R,2017,63,1,2017,2017,1.9,2018,1.5,2019,1.5,4.9,51 - 75
Kevin Plawecki,New York Mets,C-1B-,C,R,R,2015,63,1,2015,2015,1.1,2016,0.3,2017,0.2,1.6,51 - 75
Slade Heathcott,New York Yankees,1B-LF,1B,L,L,2013,63,1,2015,2015,0.5,2016,,2017,,0.5,51 - 75
Grant Green,Oakland Athletics,SS-2B,SS,R,R,2011,63,1,2013,2013,-0.1,2014,-0.2,2015,-0.5,-0.8,51 - 75
Albert Almora,Chicago Cubs,CF-OF,CF,R,R,2017,64,1,2016,2016,0.6,2017,1.1,2018,1.1,2.8,51 - 75
Matt Szczur,Chicago Cubs,RF-LF,RF,R,R,2012,64,1,2014,2014,0,2015,-0.1,2016,0.6,0.5,51 - 75
Danny Espinosa,Washington Nationals,SS-2B,SS,B,R,2011,66,1,2010,2011,3.2,2012,2.6,2013,-0.6,5.2,51 - 75
Jose Peraza,Cincinnati Reds,SS-2B,SS,R,R,2016,66,1,2015,2016,0.7,2017,-0.3,2018,2.6,3,51 - 75
Daniel Robertson,Tampa Bay Rays,2B-SS,2B,R,R,2015,66,1,2017,2017,0.1,2018,2.4,2019,-0.3,2.2,51 - 75
Chris Owings,Arizona Diamondbacks,OF-2B,2B,R,R,2014,66,1,2013,2014,1.5,2015,-1.1,2016,1,1.4,51 - 75
Willson Contreras,Chicago Cubs,C-LF-,C,R,R,2016,67,1,2016,2016,2.5,2017,2.4,2018,2.4,7.3,51 - 75
Tim Beckham,Tampa Bay Rays,SS-3B,SS,R,R,2010,67,1,2013,2013,0.1,2014,,2015,0,0.1,51 - 75
Christian Bethancourt,Atlanta Braves,C-1B,C,R,R,2014,69,1,2013,2014,-0.7,2015,-1,2016,-0.2,-1.9,51 - 75
